Altitude (ft)	Temperature (R)	Pressure (psia)	Density (slug/ft3)	Viscosity (lb-s/ft2)
-6000	540.07	18.1749	2.82344E-3	3.90735E-7
-3000	529.37	16.3607	2.59297E-3	3.84625E-7
0	518.67	14.6959	2.37717E-3	3.78456E-7
5000	500.84	12.2277	2.04834E-3	3.68041E-7
10000	483.01	10.1065	1.75549E-3	3.57454E-7
15000	465.18	8.29354	1.49581E-3	3.46688E-7
20000	447.35	6.75343	1.26659E-3	3.35735E-7
25000	429.52	5.45355	1.06526E-3	3.24588E-7
30000	411.69	4.36413	8.89378E-4	3.13240E-7
35000	393.85	3.45803	7.36627E-4	3.01681E-7
40000	389.97	2.72003	5.85189E-4	2.99135E-7
45000	389.97	2.13897	4.60180E-4	2.99135E-7
50000	389.97	1.68204	3.61876E-4	2.99135E-7
55000	389.97	1.32272	2.84571E-4	2.99135E-7
60000	389.97	1.04016	2.23781E-4	2.99135E-7
70000	392.37	6.43641E-1	1.37625E-4	3.00712E-7
80000	397.86	4.00519E-1	8.44590E-5	3.04297E-7
100000	408.83	1.58114E-1	3.24473E-5	3.11406E-7
120000	434.63	6.47290E-2	1.24948E-5	3.27808E-7
140000	465.36	2.81301E-2	5.07154E-6	3.46797E-7
160000	487.17	1.28682E-2	2.21610E-6	3.59941E-7
180000	467.70	5.90183E-3	1.05871E-6	3.48219E-7
200000	436.97	2.57592E-3	4.94576E-7	3.29273E-7
225000	398.57	8.38438E-4	1.76492E-7	3.04757E-7
250000	367.65	2.45671E-4	5.60626E-8	2.84296E-7
278386	336.50	5.41542E-5	1.35020E-8	2.62978E-7
